coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,fixation.started,dots.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.125,0,65,9,4,right,0.24615658295806497,None,4,9,65,3,57.78724929201417,,,,,,,,,57.7739644999383,57.78724929201417,57.78724929201417,57.8703563750023,58.15587208303623,58.388481791946106,58.388481791946106,58.388481791946106,58.388481791946106,58.63850870798342,right,0.24615658295806497,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.125,180,66,10,4,left,0.440591000020504,None,4,10,66,10,58.64402983302716,,,,,,,,,58.638998250011355,58.64402983302716,58.64402983302716,58.73706524993759,59.02278816699982,59.23702837503515,59.23702837503515,59.23963912494946,59.23963912494946,59.688627457944676,left,0.440591000020504,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.5,180,67,11,4,left,0.15852837497368455,None,4,11,67,8,59.69409804197494,,,,,,,,,59.68920399993658,59.69409804197494,59.69409804197494,59.78829441696871,60.08805287501309,60.28701358300168,60.28701358300168,60.29015737504233,60.29015737504233,60.456592333037406,left,0.15852837497368455,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.5,0,68,12,4,right,0.22351766598876566,None,4,12,68,1,60.462199082947336,,,,,,,,,60.45717645797413,60.462199082947336,60.462199082947336,60.55368400004227,60.85395400004927,61.071456208010204,61.071456208010204,61.071456208010204,61.071456208010204,61.3058757079998,right,0.22351766598876566,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,0,69,13,4,right,0.18457291601225734,None,4,13,69,0,61.32029333303217,,,,,,,,,61.306402583024465,61.32029333303217,61.32029333303217,61.40493779198732,61.70369987504091,61.90466637501959,61.90466637501959,61.92140150000341,61.92140150000341,62.104641292011365,right,0.18457291601225734,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,0,70,0,5,right,0.2112162089906633,None,5,0,70,0,62.107824124977924,,,,,,,,,62.10518199997023,62.107824124977924,62.107824124977924,62.203655041987076,62.49038695800118,62.703654667013325,62.703654667013325,62.70730229199398,62.70730229199398,62.924738792004064,right,0.2112162089906633,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.25,0,71,1,5,right,0.32956204097718,None,5,1,71,2,62.93711370800156,,,,,,,,,62.92529995797668,62.93711370800156,62.93711370800156,63.02423900004942,63.32265424996149,63.53780283301603,63.53780283301603,63.53780283301603,63.53780283301603,63.871710416977294,right,0.32956204097718,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.0625,180,72,2,5,right,0.35195624991320074,None,5,2,72,11,63.87722758296877,,,,,,,,,63.872249291976914,63.87722758296877,63.87722758296877,63.97104562504683,64.27135604200885,64.47130333294626,64.47130333294626,64.4884800419677,64.4884800419677,64.83894695795607,right,0.35195624991320074,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.03125,0,73,3,5,left,0.23553049995098263,None,5,3,73,5,64.84542791696731,,,,,,,,,64.8398275829386,64.84542791696731,64.84542791696731,64.93704679200891,65.23868858302012,65.43795208295342,65.43795208295342,65.45489270798862,65.45489270798862,65.68929708295036,left,0.23553049995098263,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,180,74,4,5,left,0.2131622500019148,None,5,4,74,13,65.70388195803389,,,,,,,,,65.68983620801009,65.70388195803389,65.70388195803389,65.7871589580318,66.0724644169677,66.30460420798045,66.30460420798045,66.30460420798045,66.30460420798045,66.52235883299727,left,0.2131622500019148,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,180,75,5,5,left,0.24168408301193267,None,5,5,75,7,66.53720904199872,,,,,,,,,66.52285850001499,66.53720904199872,66.53720904199872,66.62032170803286,66.92184087494388,67.12094845797401,67.12094845797401,67.125067917048,67.125067917048,67.37599279196002,left,0.24168408301193267,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.5,180,76,6,5,left,0.18683020793832839,None,5,6,76,8,67.38717216695659,,,,,,,,,67.37661341694184,67.38717216695659,67.38717216695659,67.47432287503034,67.77184695797041,67.97061370802112,67.97061370802112,67.97569875000045,67.97569875000045,68.17163887503557,left,0.18683020793832839,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
