coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,dots.started,polygon.started,fixation.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,0,34,6,2,right,0.16215362504590303,None,2,6,34,0,32.164399125031196,,,,,,,,,32.15973666601349,32.25824095797725,32.164399125031196,32.164399125031196,32.544679582933895,32.74753754097037,32.74753754097037,32.758250499959104,32.758250499959104,32.91236608300824,right,0.16215362504590303,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.5,0,35,7,2,right,0.20734958304092288,None,2,7,35,1,32.92495929100551,,,,,,,,,32.91296645801049,33.01423833298031,32.92495929100551,32.92495929100551,33.30838104092982,33.525776832946576,33.525776832946576,33.525776832946576,33.525776832946576,33.745912582962774,right,0.20734958304092288,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.3,180,36,8,2,left,0.38731795793864876,None,2,8,36,10,33.75831512501463,,,,,,,,,33.74649158294778,33.84529341594316,33.75831512501463,33.75831512501463,34.1598633750109,34.34155491599813,34.34155491599813,34.344220874947496,34.344220874947496,34.74304208299145,left,0.38731795793864876,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.1,0,37,9,2,right,0.5802515000104904,None,2,9,37,5,34.74822950002272,,,,,,,,,34.74353570793755,34.84165487496648,34.74822950002272,34.74822950002272,35.14261354098562,35.3425529160304,35.3425529160304,35.35933345800731,35.35933345800731,35.92736095795408,right,0.5802515000104904,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.4,180,38,10,2,left,0.23992879095021635,None,2,10,38,9,35.94171591592021,,,,,,,,,35.92803245794494,36.025891249999404,35.94171591592021,35.94171591592021,36.32559266593307,36.5241231250111,36.5241231250111,36.526511290925555,36.526511290925555,36.77758966595866,left,0.23992879095021635,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.1,180,39,11,2,left,0.3563221249496564,None,2,11,39,12,36.79178229102399,,,,,,,,,36.778368957922794,36.87496049993206,36.79178229102399,36.79178229102399,37.16064975003246,37.39232424995862,37.39232424995862,37.39232424995862,37.39232424995862,37.76099837501533,left,0.3563221249496564,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.2,180,40,12,2,left,0.2788439999567345,None,2,12,40,11,37.77512604102958,,,,,,,,,37.76185499993153,37.857746207970195,37.77512604102958,37.77512604102958,38.14648529095575,38.35955425002612,38.35955425002612,38.36528795794584,38.36528795794584,38.64391066599637,left,0.2788439999567345,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
1,180,41,13,2,left,0.19226995797362179,None,2,13,41,7,38.658501707948744,,,,,,,,,38.64465333300177,38.741580832982436,38.658501707948744,38.658501707948744,39.0272334999172,39.24238054093439,39.24238054093439,39.259199833031744,39.259199833031744,39.442867457983084,left,0.19226995797362179,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.3,0,42,0,3,left,0.7042497500078753,None,3,0,42,3,39.44801220798399,,,,,,,,,39.44337224995252,39.541633040993474,39.44801220798399,39.44801220798399,39.831115624983795,40.03092479100451,40.03092479100451,40.0420616249321,40.0420616249321,40.743070082971826,left,0.7042497500078753,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.3,180,43,1,3,left,0.2511218750150874,None,3,1,43,10,40.748590374947526,,,,,,,,,40.74373770796228,40.84163758298382,40.748590374947526,40.748590374947526,41.127562457928434,41.341603916021995,41.341603916021995,41.34426016593352,41.34426016593352,41.59581445797812,left,0.2511218750150874,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.1,0,44,2,3,right,0.32342487503774464,None,3,2,44,5,41.60085354093462,,,,,,,,,41.59638504101895,41.696455333032645,41.60085354093462,41.60085354093462,42.009764582966454,42.20931387494784,42.20931387494784,42.20931387494784,42.20931387494784,42.544785624952056,right,0.32342487503774464,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.1,180,45,3,3,right,0.5884297080338001,None,3,3,45,12,42.550173291005194,,,,,,,,,42.54536091594491,42.64428470795974,42.550173291005194,42.550173291005194,42.941576540935785,43.15979874995537,43.15979874995537,43.15979874995537,43.15979874995537,43.76138516596984,right,0.5884297080338001,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.4,0,46,4,3,right,0.18092762492597103,None,3,4,46,2,43.76778283296153,,,,,,,,,43.762185207917355,43.86227033298928,43.76778283296153,43.76778283296153,44.15823800000362,44.375591707997955,44.375591707997955,44.375591707997955,44.375591707997955,44.559548957971856,right,0.18092762492597103,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
1,180,47,5,3,left,0.006023208028636873,None,3,5,47,7,44.56526699999813,,,,,,,,,44.56017166597303,44.65823154093232,44.56526699999813,44.56526699999813,44.944579583010636,45.15912404097617,45.15912404097617,45.17640970798675,45.17640970798675,45.17989812500309,left,0.006023208028636873,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.5,0,48,6,3,right,0.2581583340652287,None,3,6,48,1,45.1917956660036,,,,,,,,,45.18047783302609,45.278779582935385,45.1917956660036,45.1917956660036,45.57952254102565,45.777047666022554,45.777047666022554,45.777047666022554,45.777047666022554,46.04399104102049,right,0.2581583340652287,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0,0,49,7,3,left,0.3174203330418095,None,3,7,49,6,46.05852341593709,,,,,,,,,46.04457837494556,46.14167229097802,46.05852341593709,46.05852341593709,46.443149582948536,46.659098082920536,46.659098082920536,46.659098082920536,46.659098082920536,46.9782783749979,left,0.3174203330418095,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.4,180,50,8,3,left,0.39355412498116493,None,3,8,50,9,46.991609249962494,,,,,,,,,46.97874137503095,47.07877216592897,46.991609249962494,46.991609249962494,47.37496124999598,47.57501908298582,47.57501908298582,47.578509583021514,47.578509583021514,47.976165832951665,left,0.39355412498116493,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0,180,51,9,3,left,0.32199112500529736,None,3,9,51,13,47.98172095802147,,,,,,,,,47.976722790976055,48.074288290925324,47.98172095802147,47.98172095802147,48.37640787498094,48.57598933298141,48.57598933298141,48.59169537492562,48.59169537492562,48.911495749955066,left,0.32199112500529736,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
1,0,52,10,3,right,0.30105512507725507,None,3,10,52,0,48.925092624966055,,,,,,,,,48.912068165955134,49.00819266599137,48.925092624966055,48.925092624966055,49.297012499999255,49.525434665963985,49.525434665963985,49.525434665963985,49.525434665963985,49.83385879092384,right,0.30105512507725507,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.2,0,53,11,3,right,0.4074736669426784,None,3,11,53,4,49.84167908295058,,,,,,,,,49.83451704098843,49.92821195803117,49.84167908295058,49.84167908295058,50.22491329093464,50.42811170802452,50.42811170802452,50.42811170802452,50.42811170802452,50.845962750026956,right,0.4074736669426784,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.5,180,54,12,3,left,0.3791937920032069,None,3,12,54,8,50.85840454092249,,,,,,,,,50.84668612491805,50.9453770830296,50.85840454092249,50.85840454092249,51.24161908298265,51.458966707927175,51.458966707927175,51.458966707927175,51.458966707927175,51.842825250001624,left,0.3791937920032069,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.2,180,55,13,3,left,0.2850429170066491,None,3,13,55,11,51.84812245797366,,,,,,,,,51.84339058294427,51.942725457949564,51.84812245797366,51.84812245797366,52.24270491593052,52.44152783299796,52.44152783299796,52.44438333297148,52.44438333297148,52.72901979100425,left,0.2850429170066491,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0,0,56,0,4,left,0.2793535420205444,None,4,0,56,6,52.741631207987666,,,,,,,,,52.72960862494074,52.843214249936864,52.741631207987666,52.741631207987666,53.14240241597872,53.32687091594562,53.32687091594562,53.32687091594562,53.32687091594562,53.60940045793541,left,0.2793535420205444,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.1,0,57,1,4,right,0.22567545797210187,None,4,1,57,5,53.61476974992547,,,,,,,,,53.60992316599004,53.708110332954675,53.61476974992547,53.61476974992547,53.99399304098915,54.20917629101314,54.20917629101314,54.2255180409411,54.2255180409411,54.44587475003209,right,0.22567545797210187,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.3,0,58,2,4,right,0.26902645896188915,None,4,2,58,3,54.45837608294096,,,,,,,,,54.44639704097062,54.54666791600175,54.45837608294096,54.45837608294096,54.84382987499703,55.04236291593406,55.04236291593406,55.059389833011664,55.059389833011664,55.327829082962126,right,0.26902645896188915,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
