thisRow.t,notes,trial_num,direction_presented_deg,side,response_direction_deg,direction_error_deg,response_time_s,participant,session,date,expName,frameRate,
,,112,330.0,right,358.8773766798852,28.877376679885174,4.923146207991522,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,113,10.0,right,0.9542726661654228,-9.045727333834577,4.766182999999728,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,114,315.0,left,318.5856667909461,3.5856667909461066,1.9069947910029441,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,115,170.0,right,172.30875837067998,2.308758370679982,2.3038347080000676,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,116,25.0,left,355.38916168894065,-29.610838311059354,2.4601047500036657,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,117,175.0,left,181.00471478520453,6.004714785204527,1.2725244580069557,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,118,355.0,left,356.9508903900102,1.9508903900102155,3.7404769170098007,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,119,285.0,left,288.25564093051685,3.255640930516847,4.491325042035896,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,120,100.0,right,112.89103700303039,12.891037003030391,4.216628541005775,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,121,210.0,right,192.06147583376,-17.93852416624,5.42383854201762,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,122,335.0,left,11.503831462626508,36.50383146262652,3.2289634590269998,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,123,30.0,right,30.985152672735165,0.9851526727351541,1.039805750013329,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,124,160.0,left,164.22482315366784,4.224823153667842,3.949084457999561,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,125,185.0,left,180.56856796630802,-4.431432033691976,5.303071667032782,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,126,130.0,right,127.95626493610689,-2.0437350638931093,3.027154374984093,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,127,210.0,left,204.5129760627775,-5.487023937222489,2.5659401250304654,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,128,35.0,left,21.655350708534755,-13.34464929146526,1.0352037500124425,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,129,70.0,left,51.12830412299951,-18.87169587700049,3.0571016669855453,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,130,80.0,right,73.98080526093277,-6.019194739067245,1.3740582920145243,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,131,190.0,left,152.2414292927358,-37.7585707072642,4.2849931250093505,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,132,45.0,right,37.41317589375744,-7.586824106242545,1.8856413749745116,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,133,275.0,left,285.737279260343,10.737279260342973,2.8496261670370586,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,134,270.0,left,268.6751990219458,-1.3248009780542134,3.97025291697355,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,135,265.0,right,252.57959198878763,-12.420408011212373,1.5834650000324473,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,136,60.0,left,30.421288178466796,-29.578711821533204,1.549462083959952,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,137,165.0,left,193.15314871490375,28.15314871490375,3.7000001670094207,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,138,220.0,right,220.3713748475157,0.37137484751571037,5.200399916968308,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,139,265.0,left,230.79354331458143,-34.20645668541857,6.890491332975216,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,140,335.0,right,359.73975001802944,24.73975001802944,1.4614668329595588,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,141,195.0,left,181.86835438838662,-13.13164561161338,3.2689350830041803,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,142,260.0,left,244.65055510702587,-15.349444892974134,3.849467000050936,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,143,275.0,right,285.6158049139826,10.615804913982572,2.4613204580382444,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,144,90.0,left,74.0263072358083,-15.973692764191696,2.444615749991499,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
