speed,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,circle_block.started,polygon.started,dots.started,dots.stopped,slider.started,key_resp.started,trial.stopped,trials.slider.response,trials.slider.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.0005,19,5,2,None,None,return,0.9554129999996803,None,2,5,19,3,75.75279450000016,,,,75.74590841600002,75.75279450000016,75.75279450000016,75.84037054099826,76.84872408299998,76.84872408299998,76.84872408299998,77.81155112499982,None,None,return,0.9554129999996803,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
6.25e-05,20,6,2,1.2718940936863543,2.0632911660031823,return,1.2306508750007197,None,2,6,20,6,77.81943358299759,,,,77.81227366599705,77.81943358299759,77.81943358299759,77.90691074999995,78.91964737499802,78.91964737499802,78.91964737499802,80.15384204099973,1.2718940936863543,2.0632911660031823,return,1.2306508750007197,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.004,21,0,3,3,2.7715779159989324,return,2.0250668749977194,None,3,0,21,0,80.1582894159983,,,,80.1545594579984,80.1582894159983,80.1582894159983,80.23949208299746,81.23619554099787,81.2697747079983,81.2697747079983,83.303946,3,2.7715779159989324,return,2.0250668749977194,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.001,22,1,3,None,None,return,0.9245817079972767,None,3,1,22,2,83.30760591599756,,,,83.3045836659985,83.30760591599756,83.30760591599756,83.40290479099713,84.40245504099948,84.40245504099948,84.40245504099948,85.33742970799722,None,None,return,0.9245817079972767,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.000125,23,2,3,1.5366598778004072,2.5880269999979646,return,1.7850432499981252,None,3,2,23,5,85.34112979099882,,,,85.3381286249969,85.34112979099882,85.34112979099882,85.43623224999828,86.42294137499994,86.45311749999746,86.45311749999746,88.24482804099898,1.5366598778004072,2.5880269999979646,return,1.7850432499981252,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.002,24,3,3,2.6593686354378816,2.140975000002072,return,1.402304290997563,None,3,3,24,1,88.25279033299739,,,,88.24555399999736,88.25279033299739,88.25279033299739,88.33851149999828,89.33625749999919,89.35021166599836,89.35021166599836,90.75387145799687,2.6593686354378816,2.140975000002072,return,1.402304290997563,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.0005,25,4,3,1.3584521384928716,2.498741457999131,return,1.837890332997631,None,3,4,25,3,90.75810008299959,,,,90.75451908299874,90.75810008299959,90.75810008299959,90.83839524999712,91.83635404099914,91.84960637499898,91.84960637499898,93.69504799999777,1.3584521384928716,2.498741457999131,return,1.837890332997631,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.00025,26,5,3,1.185336048879837,4.0403784590016585,return,3.1912178749989835,None,3,5,26,4,93.70278016599696,,,,93.69579266599976,93.70278016599696,93.70278016599696,93.78986008299762,94.80480554099995,94.80480554099995,94.80480554099995,98.003868374999,1.185336048879837,4.0403784590016585,return,3.1912178749989835,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
6.25e-05,27,6,3,1,2.665542041999288,return,1.8518887919999543,None,3,6,27,6,98.00801720799791,,,,98.00459633299761,98.00801720799791,98.00801720799791,98.0894724159989,99.10304329099745,99.10304329099745,99.10304329099745,100.96104770799866,1,2.665542041999288,return,1.8518887919999543,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.00025,28,0,4,1.409368635437882,2.3309184159988945,return,1.520603791999747,None,4,0,28,4,100.96932091599956,,,,100.96177199999875,100.96932091599956,100.96932091599956,101.05613325000013,102.05294908299766,102.06712829099706,102.06712829099706,103.59479825000017,1.409368635437882,2.3309184159988945,return,1.520603791999747,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.0005,29,1,4,1.740325865580448,2.074339292001241,return,1.3104828329996963,None,4,1,29,3,103.60277262499949,,,,103.59547083299913,103.60277262499949,103.60277262499949,103.68941049999921,104.68622279099873,104.70042541599832,104.70042541599832,106.02062341599958,1.740325865580448,2.074339292001241,return,1.3104828329996963,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.000125,30,2,4,1.060590631364562,2.5655893749972165,return,1.7217705410002964,None,4,2,30,5,106.02409570799864,,,,106.02124079100031,106.02409570799864,106.02409570799864,106.11969574999966,107.10658179099846,107.11961329099722,107.11961329099722,108.84368324999741,1.060590631364562,2.5655893749972165,return,1.7217705410002964,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
6.25e-05,31,3,4,1.0376782077393076,2.4088567910002894,return,1.5985283330010134,None,4,3,31,6,108.85277108299852,,,,108.84430299999804,108.85277108299852,108.85277108299852,108.93936766600018,109.93619883299834,109.9503499579987,109.9503499579987,111.55409833299927,1.0376782077393076,2.4088567910002894,return,1.5985283330010134,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.004,32,4,4,2.980142566191446,2.2653292499999225,return,1.4774944169985247,None,4,4,32,0,111.55872508299944,,,,111.55486916599693,111.55872508299944,111.55872508299944,111.65285566599778,112.65212604099725,112.65212604099725,112.65212604099725,114.13724083299894,2.980142566191446,2.2653292499999225,return,1.4774944169985247,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.001,33,5,4,2.208757637474542,2.5385839580012544,return,1.7481691670000146,None,4,5,33,2,114.14164091599741,,,,114.1379328749972,114.14164091599741,114.14164091599741,114.22293991599872,115.21971083300014,115.23375445799684,115.23375445799684,116.98726162499952,2.208757637474542,2.5385839580012544,return,1.7481691670000146,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.002,34,6,4,2.621181262729124,2.2879495000015595,return,1.4740023750018736,None,4,6,34,1,116.99181466599839,,,,116.98799433299791,116.99181466599839,116.99181466599839,117.0863248329988,118.08340508299807,118.08340508299807,118.08340508299807,119.56021599999804,2.621181262729124,2.2879495000015595,return,1.4740023750018736,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
