blobHeight,blobWidth,offset,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Wait.started,start_trial_text.started,start_key_resp.started,Wait.stopped,start_key_resp.keys,start_key_resp.rt,start_key_resp.duration,trial.started,noise.started,blob_1.started,blob_1.stopped,blob_2.started,blob_2.stopped,noise_2.started,key_resp.started,noise.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1489,0.47,0.08,25,25,0,right,0.17895320802927017,None,0,25,25,22,26.08851562498603,,,,,,,,,26.065293582971208,26.08851562498603,26.141534707974643,26.38967633305583,26.489373167045414,26.739172667032108,26.789546207990497,26.789546207990497,26.836591125000268,26.972066458081827,right,0.17895320802927017,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,-0.16,26,26,0,left,0.26714225008618087,None,0,26,26,45,27.02001979202032,,,,,,,,,26.996770082972944,27.02001979202032,27.073911958024837,27.339544792077504,27.42436816706322,27.68913325003814,27.722319000051357,27.722319000051357,27.77007979201153,27.99157341697719,left,0.26714225008618087,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,-0.16,27,27,0,left,0.13446808303706348,None,0,27,27,44,28.03946962498594,,,,,,,,,28.017188583035022,28.03946962498594,28.093131833011284,28.355546583072282,28.456153333070688,28.705911791999824,28.75584933301434,28.75584933301434,28.786700375028886,28.89151387498714,left,0.13446808303706348,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,0.01,28,28,0,right,0.220117749995552,None,0,28,28,11,28.936132917064242,,,,,,,,,28.914860208053142,28.936132917064242,29.006679582991637,29.255918791983277,29.356722417054698,29.60739087499678,29.642175292014144,29.642175292014144,29.68672412505839,29.871997541980818,right,0.220117749995552,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,-0.01,29,29,0,left,0.27616133296396583,None,0,29,29,30,29.92114841705188,,,,,,,,,29.89817912504077,29.92114841705188,29.974689207971096,30.227062833029777,30.32415604207199,30.59030649997294,30.622701333020814,30.622701333020814,30.670088791986927,30.9055512920022,left,0.27616133296396583,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,0.01,30,30,0,right,0.2475797920487821,None,0,30,30,10,30.956391000072472,,,,,,,,,30.932329792063683,30.956391000072472,31.0093039580388,31.273424750077538,31.357705125003122,31.62296691699885,31.65616274997592,31.65616274997592,31.703404167084955,31.9057237500092,right,0.2475797920487821,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,0.08,31,31,0,right,0.1231732500018552,None,0,31,31,20,31.953530166996643,,,,,,,,,31.930945832980797,31.953530166996643,32.0063280420145,32.25647525000386,32.3563616250176,32.60591583303176,32.65629066701513,32.65629066701513,32.703374166972935,32.78830754198134,right,0.1231732500018552,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,-0.02,32,32,0,left,0.36478179099503905,None,0,32,32,34,32.831896124989726,,,,,,,,,32.810769292060286,32.831896124989726,32.898796042078175,33.16036362503655,33.24116862507071,33.50557608297095,33.54202808300033,33.54202808300033,33.586844917037524,33.90817783307284,left,0.36478179099503905,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,0.02,33,33,0,right,0.23723991599399596,None,0,33,33,14,33.95977058308199,,,,,,,,,33.93611645803321,33.95977058308199,34.014197375043295,34.27689137507696,34.358623625012115,34.62301945802756,34.67546333302744,34.67546333302744,34.72011354204733,34.92224383307621,right,0.23723991599399596,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,0.02,34,34,0,right,0.1843762081116438,None,0,34,34,12,34.9707604580326,,,,,,,,,34.947956292075105,34.9707604580326,35.02471150003839,35.274941083043814,35.372641082969494,35.622505542007275,35.672436207998544,35.672436207998544,35.72005291702226,35.858002458000556,right,0.1843762081116438,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,0.005,35,35,0,left,0.5419736249605194,None,0,35,35,6,35.90279633307364,,,,,,,,,35.88149929197971,35.90279633307364,35.97268858307507,36.22321845800616,36.32403412507847,36.572713917004876,36.62272879201919,36.62272879201919,36.65336062503047,37.17202795797493,left,0.5419736249605194,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
